policy,metric,n,mean,std,ci_low,ci_high,paired_mean_diff_vs_terr
terrestrial_baseline,min_service_fraction,30,0.7375,0.06033,0.7149757868228251,0.7600308798438414,
terrestrial_baseline,uptime_fraction,30,0.7375,0.06033,0.7149757868228251,0.7600308798438414,
static_ntn,min_service_fraction,30,0.8292,0.04967,0.8106162179137675,0.8477104487528992,0.09166000000000002
static_ntn,uptime_fraction,30,0.8292,0.04967,0.8106162179137675,0.8477104487528992,0.09166000000000002
fallback,min_service_fraction,30,0.8292,0.04967,0.8106162179137675,0.8477104487528992,0.09166000000000002
fallback,uptime_fraction,30,0.8292,0.04967,0.8106162179137675,0.8477104487528992,0.09166000000000002
adaptive,min_service_fraction,30,0.8292,0.04967,0.8106162179137675,0.8477104487528992,0.09166000000000002
adaptive,uptime_fraction,30,0.8292,0.04967,0.8106162179137675,0.8477104487528992,0.09166000000000002
